,Player,Position,Team,FPTS
571,Aldrick Rosas,Kicker,NYG,5.8
572,Zane Gonzalez,Kicker,CLE,5.8
573,Mike Nugent,Kicker,CHI,5.5
574,Cody Parkey,Kicker,MIA,5.4
575,Cairo Santos,Kicker,CHI,0.0
576,Roberto Aguayo,Kicker,CAR,0.0
577,Nick Folk,Kicker,TB,0.0
578,Green Bay Packers,Defense & Special Teams,GB,9.3
579,Jacksonville Jaguars,Defense & Special Teams,JAC,9.0
580,New England Patriots,Defense & Special Teams,NE,8.5
581,Los Angeles Chargers,Defense & Special Teams,LAC,8.1
582,Tennessee Titans,Defense & Special Teams,TEN,8.1
583,Houston Texans,Defense & Special Teams,HOU,8.0
584,Pittsburgh Steelers,Defense & Special Teams,PIT,8.0
585,Dallas Cowboys,Defense & Special Teams,DAL,7.8
586,Minnesota Vikings,Defense & Special Teams,MIN,7.7
587,Cincinnati Bengals,Defense & Special Teams,CIN,7.5
588,New York Jets,Defense & Special Teams,NYJ,7.4
589,Buffalo Bills,Defense & Special Teams,BUF,7.1
590,Denver Broncos,Defense & Special Teams,DEN,6.8
591,Seattle Seahawks,Defense & Special Teams,SF,6.7
592,Detroit Lions,Defense & Special Teams,DET,6.6
593,Philadelphia Eagles,Defense & Special Teams,PHI,6.6
594,Tampa Bay Buccaneers,Defense & Special Teams,TB,6.5
595,Baltimore Ravens,Defense & Special Teams,BAL,6.5
596,Cleveland Browns,Defense & Special Teams,CLE,6.5
597,San Francisco 49ers,Defense & Special Teams,SEA,6.5
598,Los Angeles Rams,Defense & Special Teams,LAR,6.4
599,Arizona Cardinals,Defense & Special Teams,ARI,6.2
600,Indianapolis Colts,Defense & Special Teams,IND,6.0
601,Chicago Bears,Defense & Special Teams,CHI,5.9
602,Carolina Panthers,Defense & Special Teams,CAR,5.7
603,Washington Redskins,Defense & Special Teams,WAS,5.4
604,Kansas City Chiefs,Defense & Special Teams,KC,5.4
605,New Orleans Saints,Defense & Special Teams,NO,5.4
606,New York Giants,Defense & Special Teams,NYG,5.3
607,Atlanta Falcons,Defense & Special Teams,ATL,5.0
608,Miami Dolphins,Defense & Special Teams,MIA,4.7
609,Oakland Raiders,Defense & Special Teams,OAK,4.6
